Display of File examples/AR_unpacked.exe

DOS File Size                                     28510h  (165136. )
Load Image Size                                   28110h  (164112. )
Relocation Table entry count                      0098h  (   152. )
Relocation Table address                          001Ch  (    28. )
Header Size                                       0400h  (  1024. )
Minimum Extra Memory                              31700h  (202496. )
Maximum Memory Requirement                        FFFFh  ( 65535. paragraphs = 1048560 bytes, all available )
File load checksum                                0000h  (     0. )
Overlay Number                                    0000h  (     0. )
Entry Point File Offset                           00420h  (  1056. )
Entry Point Image Offset                          00020h  (    32. )

Initial Stack Segment  (SS:SP)			  1B5F:CB14
Program Entry Point    (CS:IP)			  0000:0020

=== Relocation Table (152 entries) ===
Entry  Segment:Offset  File Location (Hex)  Linear Offset
-----  --------------  -------------------  -------------
00000  0000:0000        00000400h          000000h
00001  0000:0002        00000402h          000002h
00002  0000:0004        00000404h          000004h
00003  0000:000E        0000040Eh          00000Eh
00004  0000:0010        00000410h          000010h
00005  0000:0012        00000412h          000012h
00006  0000:0014        00000414h          000014h
00007  0000:0016        00000416h          000016h
00008  0000:0018        00000418h          000018h
00009  0000:001A        0000041Ah          00001Ah
00010  0000:001C        0000041Ch          00001Ch
00011  0000:00AE        000004AEh          0000AEh
00012  0000:00F1        000004F1h          0000F1h
00013  0000:0105        00000505h          000105h
00014  0000:010D        0000050Dh          00010Dh
00015  0000:0115        00000515h          000115h
00016  0000:0128        00000528h          000128h
00017  0000:D0FC        0000D4FCh          00D0FCh
00018  0000:D102        0000D502h          00D102h
00019  0000:D114        0000D514h          00D114h
00020  0000:D11A        0000D51Ah          00D11Ah
00021  0000:D12C        0000D52Ch          00D12Ch
00022  0000:D132        0000D532h          00D132h
00023  0000:D144        0000D544h          00D144h
00024  0000:D14A        0000D54Ah          00D14Ah
00025  0000:D15C        0000D55Ch          00D15Ch
00026  0000:D162        0000D562h          00D162h
00027  0000:D174        0000D574h          00D174h
00028  0000:D17A        0000D57Ah          00D17Ah
00029  0000:D18C        0000D58Ch          00D18Ch
00030  0000:D192        0000D592h          00D192h
00031  0000:D1A4        0000D5A4h          00D1A4h
00032  0000:D1AA        0000D5AAh          00D1AAh
00033  0000:D1BC        0000D5BCh          00D1BCh
00034  0000:D1C2        0000D5C2h          00D1C2h
00035  0000:D1D4        0000D5D4h          00D1D4h
00036  0000:D1DA        0000D5DAh          00D1DAh
00037  0000:D1EC        0000D5ECh          00D1ECh
00038  0000:D1F2        0000D5F2h          00D1F2h
