image	file_offset	image_offset	ip	ghidra_name	tier	kind	role	prologue_hex
ICON.EXE	0x1A85	0x1885	1885	jt_00_calls_further	B	jump_table_target	calls_further	e8374b
ICON.EXE	0x02D5	0x00D5	00D5	jt_01_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x031A	0x011A	011A	jt_02_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0349	0x0149	0149	jt_03_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x036F	0x016F	016F	jt_04_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x03AD	0x01AD	01AD	jt_05_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x03D2	0x01D2	01D2	jt_06_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x04B8	0x02B8	02B8	jt_07_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0A92	0x0892	0892	jt_08_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0532	0x0332	0332	jt_09_game_or_rtl	C	jump_table_target	game_or_rtl_proc	558bc4ff76fe
ICON.EXE	0x06BB	0x04BB	04BB	jt_10_game_or_rtl	C	jump_table_target	game_or_rtl_proc	558bc4ff76fe
ICON.EXE	0x0D34	0x0B34	0B34	jt_11_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0DAF	0x0BAF	0BAF	jt_12_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0E05	0x0C05	0C05	jt_13_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x1189	0x0F89	0F89	jt_14_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x1264	0x1064	1064	jt_15_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x145B	0x125B	125B	jt_16_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x160D	0x140D	140D	jt_17_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x1667	0x1467	1467	jt_18_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x185C	0x165C	165C	jt_19_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x18DA	0x16DA	16DA	jt_20_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x18FA	0x16FA	16FA	jt_21_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x19B4	0x17B4	17B4	jt_22_pascal_near	B	jump_table_target	pascal_near_proc_frame	558bec5581ec
ICON.EXE	0x0203	0x0003	0003	pascal_mt_segment_table__0203	A	fingerprint_site	pascal_mt_segment_table	800cb0089000
ICON.EXE	0x0200	0x0000	0000	pascal_mt_startup_call__0200	A	fingerprint_site	pascal_mt_startup_call	e82865800cb0
ICON.EXE	0x67AF	0x65AF	65AF	startup_read_data_size_paras__67AF	A	fingerprint_site	startup_read_data_size_paras	2ea10500b104
ICON.EXE	0x67BA	0x65BA	65BA	startup_read_extra_size_paras__67BA	A	fingerprint_site	startup_read_extra_size_paras	2ea109008bd8
ICON.EXE	0x672D	0x652D	652D	startup_add_code_size__672D	A	fingerprint_site	startup_add_code_size	2e030603002e
ICON.EXE	0x676A	0x656A	656A	startup_add_code_size__676A	A	fingerprint_site	startup_add_code_size	2e030603008e
ICON.EXE	0x6732	0x6532	6532	startup_add_data_size__6732	A	fingerprint_site	startup_add_data_size	2e030605002e
ICON.EXE	0x6787	0x6587	6587	startup_add_data_size__6787	A	fingerprint_site	startup_add_data_size	2e03060500a3
