pascal_mt_segment_table__0203 00000203
pascal_mt_startup_call__0200 00000200
startup_read_data_size_paras__A309 0000A309
startup_read_extra_size_paras__A314 0000A314
startup_add_code_size__A287 0000A287
startup_add_code_size__A2C4 0000A2C4
startup_add_data_size__A28C 0000A28C
startup_add_data_size__A2E1 0000A2E1
startup_add_stack_size__A291 0000A291
dos_print_string__A2BA 0000A2BA
rtl_error_string__0306 00000306
overlay_chain_name__282F 0000282F
overlay_chain_name__2812 00002812
overlay_chain_name__284C 0000284C
overlay_chain_name__293C 0000293C
overlay_chain_name__2959 00002959
rtl_oom__A2A5 0000A2A5
