jt_00_calls_further 0000:1885
jt_01_pascal_near 0000:00D5
jt_02_pascal_near 0000:011A
jt_03_pascal_near 0000:0149
jt_04_pascal_near 0000:016F
jt_05_pascal_near 0000:01AD
jt_06_pascal_near 0000:01D2
jt_07_pascal_near 0000:02B8
jt_08_pascal_near 0000:0892
jt_09_game_or_rtl 0000:0332
jt_10_game_or_rtl 0000:04BB
jt_11_pascal_near 0000:0B34
jt_12_pascal_near 0000:0BAF
jt_13_pascal_near 0000:0C05
jt_14_pascal_near 0000:0F89
jt_15_pascal_near 0000:1064
jt_16_pascal_near 0000:125B
jt_17_pascal_near 0000:140D
jt_18_pascal_near 0000:1467
jt_19_pascal_near 0000:165C
jt_20_pascal_near 0000:16DA
jt_21_pascal_near 0000:16FA
jt_22_pascal_near 0000:17B4
pascal_mt_segment_table__0203 00000203
pascal_mt_startup_call__0200 00000200
startup_read_data_size_paras__67AF 000067AF
startup_read_extra_size_paras__67BA 000067BA
startup_add_code_size__672D 0000672D
startup_add_code_size__676A 0000676A
startup_add_data_size__6732 00006732
startup_add_data_size__6787 00006787
startup_add_stack_size__6737 00006737
dos_print_string__6760 00006760
rtl_error_string__02EE 000002EE
game_version_string__17D4 000017D4
overlay_chain_name__1ED0 00001ED0
overlay_chain_name__1EED 00001EED
cga_requirement__1ACC 00001ACC
rtl_oom__674B 0000674B
